name,category,website,phone,address,maps_url,source,engine,search_query,scraped_at
Rajput Motors,car rental,http://rajputmotors.com.pk/,92512251252-3,"Rajput Motors, Markaz Rd, G-8 Markaz, Islamabad, Pakistan, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/243787/rajput-motors,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:03.899057+00:00
Arabian Royal Rent a Car,car rental,https://arabianroyal.pk/car-rental/,+923270599569,"Barian ,Murree, Rawalpindi, Punjab",https://www.businesslist.pk/company/257486/arabian-royal-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:05.826328+00:00
Cruise Car Rentals,car rental,http://www.facebook.com/ccr,"021-32863243,","SUITE# 12-A MEZZANINE FLOOR, NAGINA CENTER, KEAMARI, KARACHI, Karachi, Sindh",https://www.businesslist.pk/company/235367/cruise-car-rentals,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:07.215695+00:00
Abdullah Travel and Rent a Car,car rental,https://abdullah-travel-and-rent-a-car-islamabad.business.site,+923355127419,"Islamabad Gandhara international airport, Islamabad Attock, Punjab, Islamabad, 44000, Islamabad",https://www.businesslist.pk/company/255128/abdullah-travel-and-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:08.935782+00:00
Pearl Tours &amp; Travel (Pvt.)Ltd.,car rental,http://www.pearltours.com.pk,0092-51-2806330-31,"106/E, 4th Floor, Asif Plaza, Fazal-e-Haq Road, Blue Area, Islamabad, Pakistan, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/243831/pearl-tourstravel-pvtltd,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:12.885670+00:00
AH Motors and Rent a car,car rental,http://www.ahmotorsrentacar.com/,03323233518,"Karachi, Sher Shah Suri Rd, Karachi 75850, Pakistan, Karachi, Sindh",https://www.businesslist.pk/company/244462/ah-motors-and-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:14.290470+00:00
Roamer,car rental,https://roamer.pk,+92-51-8350442,"Office 204, 3rd Floor, Paris Heights, Main Double Rd, PMCHS E 11/3 E-11, Islamabad, Islamabad Capital Territory, Islamabad",https://www.businesslist.pk/company/255931/roamer,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:16.037821+00:00
Khan Brothers Rent A Car,car rental,,00923044036510,"sher Shah Road,Multan Cantt., Multan, Punjab",https://www.businesslist.pk/company/243648/khan-brothers-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:17.827887+00:00
ShaniTravels,car rental,,03209555583,"Office # 9, 4th Floor, Shan Arcade, Barkat Market, New Garden Town, Lahore, Pakistan., Lahore, Punjab",https://www.businesslist.pk/company/250084/shanitravels,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:21.139316+00:00
Fortune-move Transport,car rental,,+92 3112903834,"Shahbaz commercial street-1 phase VI - D.H.A , Karachi, Sindh",https://www.businesslist.pk/company/245192/fortune-move-transport,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:23.194303+00:00
Raza Khan Tours (Rent-A-Car),car rental,http://www.razakhantours.com,92-21-32411350,"Office No. 101, 1st Floor, KMC Building, New Boulton Market, M.A. Jinnah Road , Karachi, Sindh",https://www.businesslist.pk/company/240666/raza-khan-tours-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:25.059923+00:00
Rafayrentacar,car rental,,0320-8189123,"UM-99, Model Town Link Road - Lahore 13-S, DHA Lahore, Lahore, Punjab",https://www.businesslist.pk/company/246637/rafayrentacar,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:27.073897+00:00
Online Rent A Car,car rental,http://www.Onlinerentacar.com.pk,03041119966,"5th Floor Mezan Tower Liaquat Road Faisalabad, Faisalabad, Punjab",https://www.businesslist.pk/company/246497/online-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:30.988332+00:00
Micro Car Rental,car rental,,+923335004275,"Office #5, 1st Floor Hill View Plaza, (76/E) G block Jinnah Avenue Blue Area, Islamabad, Islamabad",https://www.businesslist.pk/company/255095/micro-car-rental,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:33.188325+00:00
Passenger.pk,car rental,,+293415022240,"Office 8 Executive I 8 Markaz Islamabad Pakistan, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/250371/passengerpk,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:34.579050+00:00
Ghazan Movers,car rental,,03005182232,"DHA PHASE 8 Ex Park View LHR., Lahore, Punjab",https://www.businesslist.pk/company/245927/ghazan-movers,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:36.647280+00:00
Luxury Rent A Car,car rental,,"(+92) 0300 4194501, (+92) 0321 5991414","Lahore Pakistan, Lahore, Punjab",https://www.businesslist.pk/company/241920/luxury-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:38.410642+00:00
Asif car carrier services,car rental,,0321 8433335,"Near Kaka Khail Hotel, 18 K.M. Multan Road Lahore, Multan, Punjab",https://www.businesslist.pk/company/248817/asif-car-carrier-services,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:40.566561+00:00
Alvi Transport Network,car rental,,03055556663,"Islamabad, Pakistan, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/245676/alvi-transport-network,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:42.104762+00:00
Rent a car in islamabad,car rental,,03035668604,"umair plaza 3th floor, Rawalpindi, Punjab",https://www.businesslist.pk/company/251115/rent-a-car-in-islamabad,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:44.196114+00:00
Irshad Travels,car rental,,051.2583775 051.2260777,"Block # 10 B, office # 9, Umer Plaza G-8 Markaz Islamabad, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/197690/irshad-travels,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:45.807477+00:00
Hertz Optimus Limited,car rental,,"(92 21) 35866369, 35866340, UAN : (92 21) 111-365-247","A-1,Ground Floor,Jason VIP,Plot #FL-4,Block-7,Clifton, Karachi",https://www.businesslist.pk/company/194120/hertz-optimus-limited,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:47.856188+00:00
Khurram Cars,car rental,,042-37421828-9,"Flate no 4 ist floor 66 Alam Center Shadman Market, Lahore, Punjab",https://www.businesslist.pk/company/138840/khurram-cars,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:49.174703+00:00
Blue Sky &amp; Company,car rental,,(92 21) 34385066,"6-u, Block-6, P.e.c.h.s, Karachi",https://www.businesslist.pk/company/239031/blue-skycompany,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:50.707559+00:00
Voyager (pvt) Ltd.,car rental,,"(92 42) 35757757, 35757756","62-A,FCC Block,Gulberg-IV, Lahore",https://www.businesslist.pk/company/194178/voyager-pvt-ltd,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:52.114326+00:00
Rent a car in islamabad,car rental,,03035668604,"umair plaza 3th foor, Rawalpindi, Punjab",https://www.businesslist.pk/company/251025/rent-a-car-in-islamabad,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:54.257570+00:00
2D Car Service Quetta (We Go),car rental,,0332-8254404,"St2, Ph2, A-one city, Quetta, Balochistan",https://www.businesslist.pk/company/247910/2d-car-service-quetta-we-go,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:56.483531+00:00
Rent a Car Islamabad,car rental,,051 2803070,"Office# 2nd Floor, Masco Plaza  Jinnah Avenue, Blue Area,  Islamabad, Pakistan., Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/242607/rent-a-car-islamabad,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:58.493399+00:00
Allah Twakkal Car Rental Services.,car rental,,,"millat chok  near laraib cng, Faisalabad, Punjab",https://www.businesslist.pk/company/242962/allah-twakkal-car-rental-services,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:00.494500+00:00
Rent a car in islamabad,car rental,,03365126725,"umair plaza 3th floor, Rawalpindi, Punjab",https://www.businesslist.pk/company/251311/rent-a-car-in-islamabad,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:02.574654+00:00
Rent a car in islamabad,car rental,,03365126725,"umair plaza 3th floor, Rawalpindi, Punjab",https://www.businesslist.pk/company/251213/rent-a-car-in-islamabad,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:04.227090+00:00
Safari Rent A Car,car rental,,+923335566947,"Islamabad, Pakistan, Islamabad",https://www.businesslist.pk/company/255100/safari-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:06.053648+00:00
Shaheen Rent A Car,car rental,,"(92 42) 36665587, 36683197","76/7A,Arif Jan Road, Lahore, Punjab",https://www.businesslist.pk/company/194149/shaheen-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:07.869126+00:00
Rent a car in islamabad,car rental,,03035668604,"umair plaza 3th floor, Rawalpindi, Punjab",https://www.businesslist.pk/company/250761/rent-a-car-in-islamabad,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:09.748554+00:00
Rafay Rent a Car,car rental,http://rafayrentacar.com/,03208189123,"lahore, Lahore, Punjab",https://www.businesslist.pk/company/251627/rafay-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:11.993654+00:00
Pace Rent A Car,car rental,,+92 3204444539,"18 B Cantt courts Tufail road Lahore، Police Officers Colony, Lahore, Punjab 54000, Lahore",https://www.businesslist.pk/company/254952/pace-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:13.937925+00:00
ShaniTravels,car rental,,03209555583,"Office # 9, 4th Floor, Shan Arcade, Barkat Market, New Garden Town, Lahore, Pakistan., Lahore, Punjab",https://www.businesslist.pk/company/250076/shanitravels,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:16.052480+00:00
Muslim United Car Carriers Services,car rental,http://www.utn.com.pk,"(92 21) 35899656, 35899655","C-41C,1st Floor,24th Com&#039;l St.,South Park Av.Phase-II Ext.DHA, Karachi, Sindh",https://www.businesslist.pk/company/194129/muslim-united-car-carriers-services,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:18.134540+00:00
Rana Rent A Car,car rental,,03044356135,"18D/E-2 Gulberg-3, Lahore, Punjab",https://www.businesslist.pk/company/250149/rana-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:20.015084+00:00
Karachi Rent a Car Service - Deinfa Motors,car rental,,922135886356,"1st Floor 6-8 C, 12th Commercial Street, Phase 2 Ext, DHA, Karachi, Pakistan., Karachi, Sindh",https://www.businesslist.pk/company/254217/karachi-rent-a-car-service-deinfa-motors,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:21.892943+00:00
Lahore Taxis,car rental,,0334 0008984,"TT Centre 84 Allama Iqbal Rd, Lahore, Punjab",https://www.businesslist.pk/company/249719/lahore-taxis,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:23.669770+00:00
Alvi Transport,car rental,,+92 51 2803070,"Office#10/A, 2nd Floor, Masco Plaza, Jinnah Avenue, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/245704/alvi-transport,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:25.722005+00:00
Almaidah Rent A Car,car rental,,+923335127419,"Malik Plaza, Main Peshawar Rd, near Deawoo Terminal, Jhangi Syedian, Rawalpindi, Islamabad, Islamabad Capital Territory 46000, Rawalpindi",https://www.businesslist.pk/company/255178/almaidah-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:27.523437+00:00
Divers Club,car rental,,+923032888987,"Suite# 33-34, 1st Floor, Glass Tower near Teen Talwaar, Clifton, 75600, Karachi, Sindh",https://www.businesslist.pk/company/253636/divers-club,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:29.289268+00:00
Raza Khan Tours,car rental,,"(92 21) 32411350, 32433861","101,New Boultan Market Bldg.,M.A.Jinnah Road, Karachi, Sindh",https://www.businesslist.pk/company/194140/raza-khan-tours,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:30.639794+00:00
Elite Rent a Car &amp; Tours,car rental,,+92-51-4855061,"Office #G-80, Food Street, Pindi Cricket Stadium, Double Road, Rawalpindi., Rawalpindi, Punjab",https://www.businesslist.pk/company/244916/elite-rent-a-cartours,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:32.362129+00:00
Rent a Car Lahore,car rental,,0300-9494246,"P82, Siddiq Trade Center, Main Boulevard Gulberg, Lahore, Punjab",https://www.businesslist.pk/company/244984/rent-a-car-lahore,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:34.433469+00:00
Rent A Car Lahore - A2Z Car Rental,car rental,,,"31 L commerical phase 8 Air Avenue DHA Lahore, Lahore, Punjab",https://www.businesslist.pk/company/243809/rent-a-car-lahore-a2z-car-rental,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:36.560954+00:00
Cryptic Car,car rental,,02134661335,"M7 moon garden block 10 A Gulshan-e-Iqbal Karachi., Karachi, Sindh",https://www.businesslist.pk/company/251026/cryptic-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:38.736926+00:00
Nusky Limo,car rental,,+92 3261133666,"42 Broadway, 12th Floor, New York, NY 10004, Multan",https://www.businesslist.pk/company/257403/nusky-limo,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:40.280760+00:00
Lahore Cars,car rental,,03219099909,"MZ-71 1st Floor Landmark Plaza, 6- Jail Road, Lahore, Lahore, Punjab",https://www.businesslist.pk/company/245734/lahore-cars,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:42.470413+00:00
Alburaq Lahore Taxis,car rental,,0334 0008984,"Basement 36/37 khalid &amp; khan center, Lahore, Punjab",https://www.businesslist.pk/company/249848/alburaq-lahore-taxis,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:44.672948+00:00
Gaddafi Rent A Car,car rental,,+923333233838,"House #4, Block #g4, Wapda Town, Lahore, Pakistan, Lahore, Punjab",https://www.businesslist.pk/company/247796/gaddafi-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:46.824577+00:00
Shaheen Cars Rental,car rental,,03445525671,"85 babar bloke new garden town, Lahore, Punjab",https://www.businesslist.pk/company/244549/shaheen-cars-rental,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:48.968252+00:00
Rent a Car Lahore Pak,car rental,https://rentacarlahorepak.com/,0314 4364855,"29 MB, Zainab Tower, Model Town Link Rd, Phase 3 GECH Society, Lahore, Punjab 54000, Lahore",https://www.businesslist.pk/company/254906/rent-a-car-lahore-pak,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:50.943424+00:00
Travel and Tour Masters,car rental,,03354550066,"Nai Abadi, Seham, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/249896/travel-and-tour-masters,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:52.251301+00:00
Carruba,car rental,,+92 51 567078,"Islamabad, Islamabad, Punjab",https://www.businesslist.pk/company/248749/carruba,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:54.088296+00:00
Tripsia,car rental,,+923492766113,"Islamabad, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/253043/tripsia,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:56.249061+00:00
Rent a car in Islamabad,car rental,,03038096367,"umair plaza 3th floor, Rawalpindi, Punjab",https://www.businesslist.pk/company/250886/rent-a-car-in-islamabad,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:57.801874+00:00
Rent a car in islamabad,car rental,,03365126725,"umair plaza 3th floor, Rawalpindi, Punjab",https://www.businesslist.pk/company/250659/rent-a-car-in-islamabad,businesslist_pk,scrapy,car-rental,2026-08-21T19:27:59.979381+00:00
Carchowk,car rental,http://www.carchowk.com,,"empire heights ii, bahria town phase 6,islamabad, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/244411/carchowk,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:02.092874+00:00
Shaheen Rent A Car,car rental,https://goo.gl/maps/n3mXrutmxDHY3NTr6,03215677208," Lari Adda, Burewala Rd, Ārifwāla, 57450, Pakistan, Sahiwal",https://www.businesslist.pk/company/254990/shaheen-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:03.897316+00:00
Karachi to Quetta 2D Car Service,car rental,https://www.facebook.com/qurbaan7775,+92 310 7801565,"University Road, Karachi, Sindh",https://www.businesslist.pk/company/254201/karachi-to-quetta-2d-car-service,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:05.991558+00:00
Prime Limousine Services Pvt. Limited,car rental,http://www.pls-pk.com,041-111111250,"Adjecant Toyota Faisalabad Motors, West Canal Road, Faisalabad, Punjab",https://www.businesslist.pk/company/234980/prime-limousine-services-pvt-limited,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:07.548543+00:00
Arabian Royal Rent a Car With Driver,car rental,,+92 327 0599569,"Murree, Rawalpindi",https://www.businesslist.pk/company/257490/arabian-royal-rent-a-car-with-driver,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:08.775501+00:00
Al-Sheikh Motors,car rental,,0092-322-2666434,"Branches: Plot No 83-C, Khalid Bin Waleed Road, PECHS Block 2, Karachi, Pakistan-75500, Karachi, Sindh",https://www.businesslist.pk/company/168109/al-sheikh-motors,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:11.009552+00:00
Sts rent a car,car rental,,03132629229,"shop # 11 sultan plaza sector 5h north karachi, Karachi, Sindh",https://www.businesslist.pk/company/246423/sts-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:12.995616+00:00
Shani Travels,car rental,,03459555583,"Office # 9, 4th Floor, Shan Arcade, Barkat Market, New Garden Town, Lahore, Pakistan., Lahore, Punjab",https://www.businesslist.pk/company/249777/shani-travels,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:15.117464+00:00
Rent a Car Pakistan Karachi,car rental,,+9221-34989960,"A-1 Sohail Center Block-8 Gulshan-e-Iqbal Karachi, Karachi, Sindh",https://www.businesslist.pk/company/242980/rent-a-car-pakistan-karachi,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:17.118517+00:00
Shekab,car rental,http://www.shekab.com,03018500814,"I-8 Markaz, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/242055/shekab,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:19.010622+00:00
Fast Track Tours &amp; Car Rental Lahore,car rental,http://www.rentacarlahore.net/,+92 300 8499507,"32/5,Block A,DHA Phase 1,Commercial Area,., Street 15, Lahore 54000, Pakistan, Lahore, Punjab",https://www.businesslist.pk/company/245277/fast-track-tourscar-rental-lahore,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:20.948306+00:00
Qasim Van Transportation Services,car rental,,34324003,"C-53/54 Near MAJU, Sindhi Muslim Sociaty, PECHS Shahrah-e-Faisal   , Karachi, Sindh",https://www.businesslist.pk/company/242759/qasim-van-transportation-services,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:22.942508+00:00
Rehan Rent A Car,car rental,https://www.rehanrentacar.com/,+923109933007,"karachi, Karachi, Sindh",https://www.businesslist.pk/company/245661/rehan-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:24.167233+00:00
Orange Travels &amp; Tours,car rental,https://rentacarinlahore.pk,+92301 6605555,"Colors Main Hussain chowk, 18th Avenue, MM Alam Rd,, Block B 3 Gulberg III, Lahore - 54000, Punjab, Pakistan, Lahore",https://www.businesslist.pk/company/257478/orange-travelstours,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:25.710661+00:00
United 2D car service Abbottabad,car rental,,+92992384089,"Muqadas towers,Mandian Abbottabad, Abbottabad, Khyber Pakhtunkhwa",https://www.businesslist.pk/company/243040/united-2d-car-service-abbottabad,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:27.412174+00:00
Baloch Rent A Car,car rental,http://www.balochrentacar.com,+924236621233,"E155/A GHAZNI LANE, NEAR DEFENCE CHOWK, Lahore, Punjab",https://www.businesslist.pk/company/242560/baloch-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:28.837131+00:00
Micro Rent A Cars Islamabad Pakistan,car rental,http://www.microrentacar.com,+92512344475,"JINNAH AVENUE BLUE AREA ISLAMABAD, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/243343/micro-rent-a-cars-islamabad-pakistan,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:31.010214+00:00
A &amp; Z-Travel Related Services,car rental,http://www.aztrs.com,0512253407,"Office # 12, Zeeshan Plaza, G-8 Markaz, Islamabad, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/240169/az-travel-related-services,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:33.222634+00:00
Rent a car in islamabad,car rental,https://getacar4rent.com/rent-a-car-in-islamabad/,03035668604,"umair plaza 3th floor, Rawalpindi, Punjab",https://www.businesslist.pk/company/251077/rent-a-car-in-islamabad,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:35.037579+00:00
Abbasi Transport Services,car rental,http://abbasitransport.org,03322661333,"Airport Road sukkur, Sukkur, Sindh",https://www.businesslist.pk/company/240902/abbasi-transport-services,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:37.127322+00:00
Shuja Royal Limo,car rental,http://shujaroyallimo.com,03111786444,"Thokar Niaz Baig, Lahore, Lahore, Punjab",https://www.businesslist.pk/company/246021/shuja-royal-limo,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:39.078855+00:00
PSG Rent a Car Lahore,car rental,http://www.pakrentacar.pk,0337 8635 333,"SJ Arcade, Main Defence Road, Cantt., Lahore, Punjab",https://www.businesslist.pk/company/247146/psg-rent-a-car-lahore,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:40.854145+00:00
M-Rides Pakistan,car rental,https://m-rides.com/pk/,"+92-21-35291137, +92-21-35291139","Clifton Diamond Plot Number BC, 10, Block 4 Clifton, Karachi, Sindh, Karachi",https://www.businesslist.pk/company/258182/m-rides-pakistan,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:42.772162+00:00
Classic Automobiles,car rental,,34542428,"PECHS, Karachi, Sindh",https://www.businesslist.pk/company/243047/classic-automobiles,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:44.177066+00:00
SA Rent a Car,car rental,http://sa-rentacar.com/,03165167043,"opposite Al Farooq Hotel, Near Street # 2. Committee Chowk, Rawalpindi, Rawalpindi, Islamabad Capital Territory",https://www.businesslist.pk/company/246897/sa-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:45.442464+00:00
Shahroz Limo,car rental,http://www.shahrozlimo.com,03224538888,"PSO Pump Galavary Ground Lahore, Lahore, Punjab",https://www.businesslist.pk/company/246668/shahroz-limo,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:47.211553+00:00
Ali Rent A Car,car rental,http://www.alirentacar.com,0333-4348383,"Suite # 05, 4th Floor, Gohar Center, Wahdat Road, Lahore Pakistan, Lahore, Punjab",https://www.businesslist.pk/company/245241/ali-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:49.095623+00:00
Al-Qaim Cars Rental,car rental,http://alqaimcarsrental.webstarts.com,092-306-1970572,"Bahria town, Rawalpindi, Punjab",https://www.businesslist.pk/company/246619/al-qaim-cars-rental,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:49.972506+00:00
Rent&quot;a&#039;Car Pakistan Lahore,car rental,http://www.rentacarlahore.pk,0300-2277225,"76, Rasool Park, Shama Road, New Mozang, Lahore, Punjab",https://www.businesslist.pk/company/240475/rentacar-pakistan-lahore,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:51.656322+00:00
ECOCAB Tour Travels and Rent A Car,car rental,https://ecocab.com.pk/,+923051521041,"shop # 2 al-ameen housing society bedian road lahore cantt, Lahore",https://www.businesslist.pk/company/258113/ecocab-tour-travels-and-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:53.896608+00:00
DJ Rent A Car,car rental,https://www.djrentacar.pk,+923162755793,"Sir shah Suleiman road, Karachi",https://www.businesslist.pk/company/257833/dj-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:55.220526+00:00
Bhai Sahab Transport,car rental,https://www.bsahab.com/,+923133359533,"92-A Bridge coloney, Lahore, Punjab",https://www.businesslist.pk/company/246144/bhai-sahab-transport,businesslist_pk,scrapy,car-rental,2026-08-21T19:28:57.056025+00:00
