company_name,category,website,email,all_emails,contact_name,contact_title,phone,address,linkedin,facebook,instagram,rating,review_count,company_size,hourly_rate,min_project,search_query,profile_url,source,engine,email_verified,score,tier,scraped_at,first_seen_at,last_seen_at,industry,tags,sub_industries,employee_count,firm_size_band,is_enterprise,tag_confidence,tag_source,region,country,city
Plavno | Software Development Company,Software company,https://plavno.io/?utm_source=gbp,sales@plavno.io,sales@plavno.io; dmitry.tk@abiatec.com,Vitaly Kovalev,Sales Manager,+1 571-237-4240,"700 N Fairfax St Ste 614, Alexandria, VA 22314, United States",https://www.linkedin.com/company/plavno/,https://www.facebook.com/plavnosoft,https://www.instagram.com/plavno.io/,5.0,9,150,Undisclosed/hr,$30 - $50,tech companies in Alexandria,https://www.google.com/maps/place/Plavno+%7C+Software+Development+Company/data=!4m7!3m6!1s0x89b7b1a241447765:0xf9cef1a19d206d2!8m2!3d38.8117676!4d-77.0415593!16s%2Fg%2F11xvc6hhyt!19sChIJZXdEQaKxt4kR0gbSGRrvnA8?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,79,A,2026-08-26T11:07:09.489Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,cloud-devops,cloud-devops; data-analytics-bi; ui-ux-design; web-development; mobile-apps; cybersecurity; qa-testing; ai-ml; healthcare; professional-services; ecommerce; hospitality-retail; finance-insurance,data-analytics-bi; ui-ux-design; web-development; mobile-apps; cybersecurity; qa-testing; ai-ml; healthcare; professional-services; ecommerce; hospitality-retail; finance-insurance,150,mid,false,0.75,web,middle-east,egypt,alexandria
Arbisoft,Software company,https://www.arbisoft.com/,contact@arbisoft.com,contact@arbisoft.com; john.doe@email.com,,,+92 42 37498533,"25 Mohlanwal Road, Westwood Colony Lahore, 54000, Pakistan",https://www.linkedin.com/company/arbisoft/,https://www.facebook.com/arbisoft,https://www.instagram.com/lifeatarbisoft/,4.5,629,250 - 999,251 to 1000,$51 - $100,software development companies in Lahore,https://www.google.com/maps/place/Arbisoft/data=!4m7!3m6!1s0x391902194b5f4fa5:0x77760d1db4c96beb!8m2!3d31.4662463!4d74.2364904!16s%2Fg%2F11cfc_3yx!19sChIJpU9fSxkCGTkR62vJtB0Ndnc?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,79,A,2026-08-26T11:21:33.854Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,625,large,false,0,rules,south-asia,pakistan,lahore
InvoZone,Software company,https://invozone.com/,sales@invozone.com,sales@invozone.com,Ron Zabel,"Founder & CEO, Cryptool",+92 317 7711171,"605 Abdul Haque Rd, Block H-3 Block H 3 Phase 2 Johar Town, Lahore, 54000, Pakistan",https://www.linkedin.com/company/invozone,,https://www.instagram.com/invozone/,4.6,116,300 - 500,$50-$99/hr,"$10,000 - $12,000",IT companies in Lahore,https://www.google.com/maps/place/InvoZone/data=!4m7!3m6!1s0x391903a7b8137a3d:0xaf8bf9341ccad18f!8m2!3d31.4675884!4d74.2615051!16s%2Fg%2F11j7dmf9tw!19sChIJPXoTuKcDGTkRj9HKHDT5i68?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,79,A,2026-08-26T11:23:29.289Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,400,large,false,0,rules,south-asia,pakistan,lahore
Riseup Labs,software developer,https://riseuplabs.com/,contact@riseuplabs.com,contact@riseuplabs.com,Zak Mansuri,"CEO, Think37 LTD",+880 1759-747387,"USA, Bangladesh",https://www.linkedin.com/in/ershadul-hoque/,https://www.facebook.com/riseuplabs,https://www.instagram.com/riseuplabs/,5.0,27,251 to 1000,Up to $25,Less than - $5000,app-development,https://www.topdevelopers.co/profile/RiseupLabs,topdevelopers,normal_scraper,unknown,79,A,2026-08-26T13:52:52.196Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,626,large,false,0,rules,south-asia,bangladesh,
TechGropse Dubai Mobile App Development Company | Hire Mobile App Developers in UAE | IOS Android & Custom App Development,Software company,https://www.techgropse.ae/app-development-dubai,sales@techgropse.ae,sales@techgropse.ae,Abdalah Jadaan,Director of Sales,+971 52 798 4766,"Al Owais building - Office ""307 - Deira - Dubai - United Arab Emirates",https://www.linkedin.com/company/techgropse/,https://www.facebook.com/techgropse/,https://www.instagram.com/techgropse/,4.9,50,50 - 249,$25 - $49 / hr,"$25,000+",software companies in Dubai,https://www.google.com/maps/place/TechGropse+Dubai+Mobile+App+Development+Company+%7C+Hire+Mobile+App+Developers+in+UAE+%7C+IOS+Android+%26+Custom+App+Development/data=!4m7!3m6!1s0x3e5f5d8eda9b2713:0xb2551ec45e67f65d!8m2!3d25.2598447!4d55.3363583!16s%2Fg%2F11rnhvd167!19sChIJEyeb2o5dXz4RXfZnXsQeVbI?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,78,A,2026-08-26T10:13:04.437Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,mobile-apps,mobile-apps,,150,mid,false,0.95,rules,middle-east,uae,dubai
Growth Technologies FZE,Software company,http://www.growth-technologies.com/,sales@growth-technologies.com,sales@growth-technologies.com,,,+971 6 557 2206,"Building # Z3,Gate No 1 - Saif Zone - Sharjah - United Arab Emirates",https://www.linkedin.com/company/growth-technologies-fze/,https://www.facebook.com/share/1AbJMfbi1t/,https://instagram.com/growth_technologies/,4.9,418,,,,IT companies in Dubai,https://www.google.com/maps/place/Growth+Technologies+FZE/data=!4m7!3m6!1s0x3ef5f5fa3122640b:0x44811507251d7255!8m2!3d25.3278972!4d55.4964866!16s%2Fg%2F11bbwpmjgz!19sChIJC2QiMfr19T4RVXIdJQcVgUQ?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,78,A,2026-08-26T10:14:03.230Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,erp-sap,erp-sap; professional-services; hospitality-retail; manufacturing-industrial,professional-services; hospitality-retail; manufacturing-industrial,,,false,0.45,web,middle-east,uae,dubai
Chipin IT Solutions - Sharjah,Software company,https://chipincorp.com/,info@chipincorp.com,info@chipincorp.com,,,+971 52 958 4840,Jamal Abdul Naser St - Al Majaz 2 - Al Majaz - Sharjah - United Arab Emirates,https://www.linkedin.com/company/chipinitsolutions,https://www.facebook.com/ChipinCorp,https://www.instagram.com/chipincorp/,4.9,233,,,,software companies in Sharjah,https://www.google.com/maps/place/Chipin+IT+Solutions+-+Sharjah/data=!4m7!3m6!1s0x3e5f5be6006560bb:0xeb8d4cadcf415771!8m2!3d25.3223846!4d55.387657!16s%2Fg%2F1hhwqyf4t!19sChIJu2BlAOZbXz4RcVdBz61Mjes?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,78,A,2026-08-26T10:29:26.775Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,education-training,education-training; cybersecurity; healthcare; hospitality-retail; cloud-devops; professional-services; manufacturing-industrial,cybersecurity; healthcare; hospitality-retail; cloud-devops; professional-services; manufacturing-industrial,,,false,0.55,web,middle-east,uae,sharjah
SMART Technology Solutions,Computer support and services,https://smart.sa/,info@smart.sa,info@smart.sa,,,+966 9200 24779,"Albassam Business Center Office # 43, Office # 43, Fourth Floor, Jeddah 22234, Saudi Arabia",https://www.linkedin.com/company/smarttechsa/,https://www.facebook.com/SmartTechSA,https://www.instagram.com/smarttechsa/,4.9,332,,,,software development companies in Jeddah,https://www.google.com/maps/place/SMART+Technology+Solutions/data=!4m7!3m6!1s0x15c3cfa475b1d615:0xcb4e8f3e0aac6554!8m2!3d21.5065426!4d39.18051!16s%2Fg%2F12q4qfndt!19sChIJFdaxdaTPwxURVGWsCj6PTss?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,78,A,2026-08-26T10:37:11.940Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,data-analytics-bi,data-analytics-bi; cybersecurity; ai-ml; cloud-devops; erp-sap; qa-testing; web-development; finance-insurance,cybersecurity; ai-ml; cloud-devops; erp-sap; qa-testing; web-development; finance-insurance,,,false,0.5,web,middle-east,saudi-arabia,jeddah
BURHAN TECHNOLOGY COMPUTER CO,Computer consultant,http://www.burhantec.com/,info@burhantec.com,info@burhantec.com,,,+965 2228 7180,"Al-Rayah Tower، 49th and 55th Floor، 6 Umar ibn al-Khattab Street، 13033, Kuwait",https://www.linkedin.com/company/burhan-technology-co-,https://www.facebook.com/BurhanTechnology/,https://www.instagram.com/burhantechnology/,4.9,307,,,,software companies in Kuwait City,https://www.google.com/maps/place/BURHAN+TECHNOLOGY+COMPUTER+CO/data=!4m7!3m6!1s0x3fcf8497b2b65bc3:0x4154273cecb572e2!8m2!3d29.3764565!4d47.9903082!16s%2Fg%2F11b66c17nd!19sChIJw1u2speEzz8R4nK17DwnVEE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,78,A,2026-08-26T10:47:02.273Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,web-development,web-development; erp-sap,erp-sap,,,false,0.5,web,middle-east,kuwait,
جيل تك,Software company,https://geeltech.com/,info@geeltech.com,info@geeltech.com,,,+962 7 9592 4403,"Wakalat St. 17, Amman, Jordan",https://www.linkedin.com/company/geeltech/,https://web.facebook.com/GeelTech2015,https://www.instagram.com/geeltech2015/,5.0,417,,,,software companies in Amman,https://www.google.com/maps/place/%D8%AC%D9%8A%D9%84+%D8%AA%D9%83%E2%80%AD/data=!4m7!3m6!1s0x151ca7305523d3c9:0x24859c5d08b08702!8m2!3d31.9578185!4d35.860581!16s%2Fg%2F11q8jzml8r!19sChIJydMjVTCnHBURAoewCF2chSQ?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,78,A,2026-08-26T10:56:27.249Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,ecommerce,ecommerce; hospitality-retail; data-analytics-bi; web-development; mobile-apps; ui-ux-design; real-estate,hospitality-retail; data-analytics-bi; web-development; mobile-apps; ui-ux-design; real-estate,,,false,0.5,web,middle-east,jordan,amman
Fusiontec Software,Software company,http://fusiontec.com/,sales@fusiontec.com,sales@fusiontec.com,Enterprise Grade,Trusted Technology Partner,+91 98416 99962,"A, 2nd Floor, Crescent Court Building, Fusiontec Software Suite No 17, 963, Poonamallee High Rd, Chennai, Tamil Nadu 600084, India",https://www.linkedin.com/company/fusiontec-software/,https://www.facebook.com/fusiontecsoftware/,,4.9,431,,,,IT companies in Chennai,https://www.google.com/maps/place/Fusiontec+Software/data=!4m7!3m6!1s0x3a52660a5a1e77b5:0x14cfe6c74001123!8m2!3d13.0795096!4d80.2575476!16s%2Fg%2F11b5wjy1zb!19sChIJtXceWgpmUjoRIxEAdGz-TAE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,78,A,2026-08-26T11:47:27.207Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,,,false,0,rules,south-asia,india,chennai
Ukirama | Software ERP Online Indonesia,Software company,https://ukirama.com/,info@ukirama.com,info@ukirama.com,,,+62 819-9444-8899,"Wisma 46 - Kota BNI, Jl. Jenderal Sudirman No.Kav. 1 Building Lt. 40, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220, Indonesia",https://www.linkedin.com/company/ukirama,https://www.facebook.com/ukiramasolution,https://www.instagram.com/ukirama.id,4.9,329,,,,software companies in Jakarta,https://www.google.com/maps/place/Ukirama+%7C+Software+ERP+Online+Indonesia/data=!4m7!3m6!1s0x2e69f81bbe7416df:0x4bdc215c07f82bec!8m2!3d-6.2035488!4d106.8201934!16s%2Fg%2F11c6rjqtg6!19sChIJ3xZ0vhv4aS4R7Cv4B1wh3Es?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,78,A,2026-08-26T12:10:40.651Z,,,erp-sap,erp-sap,,,,false,0.7,rules,southeast-asia,indonesia,jakarta
eXolnet,Software company,https://www.exolnet.com/,contact@exolnet.com,contact@exolnet.com,Sylvain Ricard,Directeur principal – Gestion du Changement,+1 514-447-5217,"4316 Boul. Saint-Laurent #302, Montréal, QC H2W 1Z3, Canada",https://www.linkedin.com/company/exolnet/,https://www.facebook.com/eXolnet,,5.0,52,10 - 49,$100 - $149 / hr,"$75,000+",software companies in Montreal,https://www.google.com/maps/place/eXolnet/data=!4m7!3m6!1s0x4cc91a356b19072f:0x90fa5920410dd258!8m2!3d45.5187347!4d-73.583892!16s%2Fg%2F119vs_gkn!19sChIJLwcZazUayUwRWNINQSBZ-pA?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,78,A,2026-08-26T13:19:31.573Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,30,mid,false,0,rules,north-america,canada,montreal
GOrendezvous,Software company,https://www.gorendezvous.com/,questions@gorendezvous.com,questions@gorendezvous.com,Philippe Papillon,Co-founder,+1 866-463-8381,"1275 Av. des Canadiens-de-Montréal #500, Montreal, Quebec H3B 0G4, Canada",www.linkedin.com/company/gorendezvous,www.facebook.com/GoRendezvous,https://www.instagram.com/gorendezvous,4.8,455,,,,software companies in Montreal,https://www.google.com/maps/place/GOrendezvous/data=!4m7!3m6!1s0x4cc91a69bdd4b4e3:0x96aa5cc202a3d8!8m2!3d45.4964397!4d-73.5706624!16s%2Fg%2F11b8jd5z40!19sChIJ47TUvWkayUwR2KMCwlyqlgA?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,78,A,2026-08-26T13:19:31.573Z,,,,,,,,false,0,rules,north-america,canada,montreal
Chop Dawg,software developer,https://chopdawg.com/,hello@chopdawg.com,hello@chopdawg.com,Jana Monroe,Founder of DigiThin,,USA,https://www.linkedin.com/company/chop-dawg-studios,https://www.facebook.com/chopdawgstudios/,https://www.instagram.com/chop_dawg/,5.0,157,11 to 50,$51 - $100,$5001 - $10000,app-development,https://www.topdevelopers.co/profile/chopdawg,topdevelopers,normal_scraper,unknown,78,A,2026-08-26T13:52:52.196Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,31,mid,false,0,rules,north-america,usa,
Designli,software developer,https://designli.co/,hello@designli.co,hello@designli.co,Keith Shields,CEO,,USA,https://www.linkedin.com/company/designli,https://www.facebook.com/designli/,https://www.instagram.com/designlico/,5.0,128,51 to 250,$51 - $100,$10001 - $25000,app-development,https://www.topdevelopers.co/profile/designli,topdevelopers,normal_scraper,unknown,78,A,2026-08-26T13:52:52.196Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,151,mid,false,0,rules,north-america,usa,
